"","sorted.div.freqs.v"
"Ros.Wethinknotso,mylord..not",14.2857142857143
"Ros.Wethinknotso,mylord..ros",14.2857142857143
"Ros.Wethinknotso,mylord..so",14.2857142857143
"Ros.Wethinknotso,mylord..think",14.2857142857143
"Ros.Wethinknotso,mylord..we",14.2857142857143
"Thepooradvancedmakesfriendsofenemies..advanced",14.2857142857143
"Thepooradvancedmakesfriendsofenemies..enemies",14.2857142857143
"Thepooradvancedmakesfriendsofenemies..friends",14.2857142857143
"Thepooradvancedmakesfriendsofenemies..makes",14.2857142857143
"Thepooradvancedmakesfriendsofenemies..of",14.2857142857143
"Thepooradvancedmakesfriendsofenemies..poor",14.2857142857143
"Thepooradvancedmakesfriendsofenemies..the",14.2857142857143
"Virtueitselfofvicemustpardonbeg;.beg",14.2857142857143
"Virtueitselfofvicemustpardonbeg;.itself",14.2857142857143
"Virtueitselfofvicemustpardonbeg;.must",14.2857142857143
"Virtueitselfofvicemustpardonbeg;.of",14.2857142857143
"Virtueitselfofvicemustpardonbeg;.pardon",14.2857142857143
"Virtueitselfofvicemustpardonbeg;.vice",14.2857142857143
"Virtueitselfofvicemustpardonbeg;.virtue",14.2857142857143
"onlygotthetuneofthetime,.got",14.2857142857143
"onlygotthetuneofthetime,.of",14.2857142857143
"onlygotthetuneofthetime,.only",14.2857142857143
"onlygotthetuneofthetime,.time",14.2857142857143
"onlygotthetuneofthetime,.tune",14.2857142857143
"Andthebestquarrels,intheheat,arecursedBythosethatfeeltheirsharpness.—.the",13.3333333333333
"Evenforanegg-shell.Rightlytobegreat,Is,nottostirwithoutgreatargument;.great",13.3333333333333
"Evenforanegg-shell.Rightlytobegreat,Is,nottostirwithoutgreatargument;.to",13.3333333333333
"'Tisnotenoughtohelpthefeebleup,Buttosupporthimafter.—Fareyouwell..to",12.5
"YoumustconsiderthataprodigalcourseIslikethesun's;butnot,likehis,recoverable..like",12.5
"O,thefiercewretchednessthatglorybringsus!.brings",12.5
"O,thefiercewretchednessthatglorybringsus!.fierce",12.5
"O,thefiercewretchednessthatglorybringsus!.glory",12.5
"O,thefiercewretchednessthatglorybringsus!.o",12.5
"O,thefiercewretchednessthatglorybringsus!.that",12.5
"O,thefiercewretchednessthatglorybringsus!.the",12.5
"O,thefiercewretchednessthatglorybringsus!.us",12.5
"O,thefiercewretchednessthatglorybringsus!.wretchedness",12.5
"Apem.Themiddleofhumanitythouneverknewest.apem",12.5
"Apem.Themiddleofhumanitythouneverknewest.humanity",12.5
"Apem.Themiddleofhumanitythouneverknewest.knewest",12.5
"Apem.Themiddleofhumanitythouneverknewest.middle",12.5
"Apem.Themiddleofhumanitythouneverknewest.never",12.5
"Apem.Themiddleofhumanitythouneverknewest.of",12.5
"Apem.Themiddleofhumanitythouneverknewest.the",12.5
"Apem.Themiddleofhumanitythouneverknewest.thou",12.5
"Lear.Nothingcancomeofnothing;speakagain..again",12.5
"Lear.Nothingcancomeofnothing;speakagain..can",12.5
"Lear.Nothingcancomeofnothing;speakagain..come",12.5
"Lear.Nothingcancomeofnothing;speakagain..lear",12.5
"Lear.Nothingcancomeofnothing;speakagain..of",12.5
"Lear.Nothingcancomeofnothing;speakagain..speak",12.5
"Cor.Timeshallunfoldwhatplaitedcunninghides;.cor",12.5
"Cor.Timeshallunfoldwhatplaitedcunninghides;.cunning",12.5
"Cor.Timeshallunfoldwhatplaitedcunninghides;.hides",12.5
"Cor.Timeshallunfoldwhatplaitedcunninghides;.plaited",12.5
"Cor.Timeshallunfoldwhatplaitedcunninghides;.shall",12.5
"Cor.Timeshallunfoldwhatplaitedcunninghides;.time",12.5
"Cor.Timeshallunfoldwhatplaitedcunninghides;.unfold",12.5
"Cor.Timeshallunfoldwhatplaitedcunninghides;.what",12.5
"Itseems,itisaspropertoourageTocastbeyondourselvesinouropinions,Asitiscommonfortheyoungersort.it",12.5
"Forifthekinglikenotthecomedy,Why,then,belike,—helikesitnot,perdy..not",12.5
"Forifthekinglikenotthecomedy,Why,then,belike,—helikesitnot,perdy..the",12.5
"Ifyourminddislikeanything,obeyit..any",12.5
"Ifyourminddislikeanything,obeyit..dislike",12.5
"Ifyourminddislikeanything,obeyit..if",12.5
"Ifyourminddislikeanything,obeyit..it",12.5
"Ifyourminddislikeanything,obeyit..mind",12.5
"Ifyourminddislikeanything,obeyit..obey",12.5
"Ifyourminddislikeanything,obeyit..thing",12.5
"Ifyourminddislikeanything,obeyit..your",12.5
"Ros.Thesingleandpeculiarlifeisbound,Withallthestrengthandarmorofthemind,Tokeepitselffrom'noyance;butmuchmoreThatspirit,uponwhosewealdependandrestThelivesofmany.Theceaseofmajesty.the",12.1951219512195
"WhomFortunewithherivoryhandwaftstoher;Whosepresentgracetopresentslavesandservants.her",11.7647058823529
"WhomFortunewithherivoryhandwaftstoher;Whosepresentgracetopresentslavesandservants.present",11.7647058823529
"WhomFortunewithherivoryhandwaftstoher;Whosepresentgracetopresentslavesandservants.to",11.7647058823529
"Thatyouarethievesprofessed;thatyouworknotInholiershapes;forthereisboundlesstheft.that",11.7647058823529
"Thatyouarethievesprofessed;thatyouworknotInholiershapes;forthereisboundlesstheft.you",11.7647058823529
"Thatslavesyourordinance,thatwillnotseeBecausehedothnotfeel,feelyourpowerquickly;.feel",11.7647058823529
"Thatslavesyourordinance,thatwillnotseeBecausehedothnotfeel,feelyourpowerquickly;.not",11.7647058823529
"Thatslavesyourordinance,thatwillnotseeBecausehedothnotfeel,feelyourpowerquickly;.that",11.7647058823529
"Thatslavesyourordinance,thatwillnotseeBecausehedothnotfeel,feelyourpowerquickly;.your",11.7647058823529
"Edg.What,inillthoughtsagain?MenmustendureTheirgoinghence,evenastheircominghither.their",11.7647058823529
"Whythemandies.—Ihumblythankyou,sir.Cap.Godbewi'you,sir.[ExitCaptain..sir",11.7647058823529
"Whythemandies.—Ihumblythankyou,sir.Cap.Godbewi'you,sir.[ExitCaptain..you",11.7647058823529
"Thesun'sathief,andwithhisgreatattractionRobsthevastsea;themoon'sanarrantthief,Andherpalefireshesnatchesfromthesun;Thesea'sathief,whoseliquidsurgeresolvesThemoonintosalttears;theearth'sathief,ThatfeedsandbreedsbyacomposturestolenFromgeneralexcrement;eachthing'sathief;Thelaws,yourcurbandwhip,intheirroughpower.the",11.5942028985507
"[Throwsthedishesatthem,anddrivesthemout..and",11.1111111111111
"[Throwsthedishesatthem,anddrivesthemout..at",11.1111111111111
"[Throwsthedishesatthem,anddrivesthemout..dishes",11.1111111111111
"[Throwsthedishesatthem,anddrivesthemout..drives",11.1111111111111
"[Throwsthedishesatthem,anddrivesthemout..out",11.1111111111111
"[Throwsthedishesatthem,anddrivesthemout..the",11.1111111111111
"[Throwsthedishesatthem,anddrivesthemout..throws",11.1111111111111
"Edg.Yetbetterthus,andknowtobecontemned,.and",11.1111111111111
"Edg.Yetbetterthus,andknowtobecontemned,.be",11.1111111111111
"Edg.Yetbetterthus,andknowtobecontemned,.better",11.1111111111111
"Edg.Yetbetterthus,andknowtobecontemned,.contemned",11.1111111111111
"Edg.Yetbetterthus,andknowtobecontemned,.edg",11.1111111111111
"Edg.Yetbetterthus,andknowtobecontemned,.know",11.1111111111111
"Edg.Yetbetterthus,andknowtobecontemned,.thus",11.1111111111111
"Edg.Yetbetterthus,andknowtobecontemned,.to",11.1111111111111
"Edg.Yetbetterthus,andknowtobecontemned,.yet",11.1111111111111
"thatwillnotseeBecausehedothnotfeel,.because",11.1111111111111
"thatwillnotseeBecausehedothnotfeel,.doth",11.1111111111111
"thatwillnotseeBecausehedothnotfeel,.feel",11.1111111111111
"thatwillnotseeBecausehedothnotfeel,.he",11.1111111111111
"thatwillnotseeBecausehedothnotfeel,.see",11.1111111111111
"thatwillnotseeBecausehedothnotfeel,.that",11.1111111111111
"thatwillnotseeBecausehedothnotfeel,.will",11.1111111111111
"Toknowourenemies'minds,we'driptheirhearts;.enemies'",11.1111111111111
"Toknowourenemies'minds,we'driptheirhearts;.hearts",11.1111111111111
"Toknowourenemies'minds,we'driptheirhearts;.know",11.1111111111111
"Toknowourenemies'minds,we'driptheirhearts;.minds",11.1111111111111
"Toknowourenemies'minds,we'driptheirhearts;.our",11.1111111111111
"Toknowourenemies'minds,we'driptheirhearts;.rip",11.1111111111111
"Toknowourenemies'minds,we'driptheirhearts;.their",11.1111111111111
"Toknowourenemies'minds,we'driptheirhearts;.to",11.1111111111111
"Toknowourenemies'minds,we'driptheirhearts;.we'd",11.1111111111111
"Shallwenotseethesedaughters,andthesesisters?.and",11.1111111111111
"Shallwenotseethesedaughters,andthesesisters?.daughters",11.1111111111111
"Shallwenotseethesedaughters,andthesesisters?.not",11.1111111111111
"Shallwenotseethesedaughters,andthesesisters?.see",11.1111111111111
"Shallwenotseethesedaughters,andthesesisters?.shall",11.1111111111111
"Shallwenotseethesedaughters,andthesesisters?.sisters",11.1111111111111
"Shallwenotseethesedaughters,andthesesisters?.we",11.1111111111111
"Thewagesoftheirvirtue,andallfoesThecupoftheirdeservings.—O,see,see!Lear.Andmypoorfoolishanged!No,no,nolife;.no",11.1111111111111
"Forwhonotneeds,shallneverlackafriend;.a",11.1111111111111
"Forwhonotneeds,shallneverlackafriend;.for",11.1111111111111
"Forwhonotneeds,shallneverlackafriend;.friend",11.1111111111111
"Forwhonotneeds,shallneverlackafriend;.lack",11.1111111111111
"Forwhonotneeds,shallneverlackafriend;.needs",11.1111111111111
"Forwhonotneeds,shallneverlackafriend;.never",11.1111111111111
"Forwhonotneeds,shallneverlackafriend;.not",11.1111111111111
"Forwhonotneeds,shallneverlackafriend;.shall",11.1111111111111
"Forwhonotneeds,shallneverlackafriend;.who",11.1111111111111
"Oth.Bytheworld,Ithinkmywifebehonest,andthinksheisnot;Ithinkthatthouartjust,andthinkthouartnot;I'llhavesomeproof.Hername,thatwasasfresh.think",11.1111111111111
"suspectthee,when,peradventure,thouwertaccusedbytheass:ifthouwerttheass,thydulnesswouldtormentthee;andstillthoulivedstbutasabreakfast.thou",10.7142857142857
"Lear.How,how,Cordelia?mendyourspeechalittle,Lestitmaymaryourfortunes.Cor.Goodmylord,.how",10.5263157894737
"Lear.How,how,Cordelia?mendyourspeechalittle,Lestitmaymaryourfortunes.Cor.Goodmylord,.your",10.5263157894737
"Fathers,thatwearrags,Domaketheirchildrenblind;Butfathers,thatbearbags,Shallseetheirchildrenkind..children",10.5263157894737
"Fathers,thatwearrags,Domaketheirchildrenblind;Butfathers,thatbearbags,Shallseetheirchildrenkind..fathers",10.5263157894737
"Fathers,thatwearrags,Domaketheirchildrenblind;Butfathers,thatbearbags,Shallseetheirchildrenkind..that",10.5263157894737
"Fathers,thatwearrags,Domaketheirchildrenblind;Butfathers,thatbearbags,Shallseetheirchildrenkind..their",10.5263157894737
"Glo.Ihavenoway,andthereforewantnoeyes;IstumbledwhenIsaw.Fulloft'tisseen,.no",10.5263157894737
"Lear.No,no,no,no!Come,let'sawaytoprison:Wetwoalonewillsinglikebirdsi'thecage.Whenthoudostaskmeblessing,I'llkneeldown,Andaskoftheeforgiveness.Sowe'lllive,Andpray,andsing,andtelloldtales,andlaughAtgildedbutterflies,andhearpoorroguesTalkofcourtnews;andwe'lltalkwiththemtoo,Wholoses,andwhowins;who'sin,who'sout;—Andtakeuponusthemysteryofthings,AsifwewereGod'sspies.Andwe'llwearout,Inawalledprison,packsandsectsofgreatones,Thatebbandflowbythemoon.Edm.Takethemaway.Lear.Uponsuchsacrifices,myCordelia,.and",10.1694915254237
"Butthievesdoloseit.Stealnotless,forthis.but",10
"Butthievesdoloseit.Stealnotless,forthis.do",10
"Butthievesdoloseit.Stealnotless,forthis.for",10
"Butthievesdoloseit.Stealnotless,forthis.it",10
"Butthievesdoloseit.Stealnotless,forthis.less",10
"Butthievesdoloseit.Stealnotless,forthis.lose",10
"Butthievesdoloseit.Stealnotless,forthis.not",10
"Butthievesdoloseit.Stealnotless,forthis.steal",10
"Butthievesdoloseit.Stealnotless,forthis.thieves",10
"Butthievesdoloseit.Stealnotless,forthis.this",10
"attheworst?Iamworsethane'erIwas..am",10
"attheworst?Iamworsethane'erIwas..at",10
"attheworst?Iamworsethane'erIwas..e'er",10
"attheworst?Iamworsethane'erIwas..than",10
"attheworst?Iamworsethane'erIwas..the",10
"attheworst?Iamworsethane'erIwas..was",10
"attheworst?Iamworsethane'erIwas..worse",10
"attheworst?Iamworsethane'erIwas..worst",10
"bevy,that,Iknow,thedrossyagedoteson)onlygotthetuneofthetime,andoutwardhabitofencounter;akindofyestycollection,whichcarriesthemthroughandthroughthemostfannedandwinnowedopinions;anddobutblowthemtotheirtrial,thebubblesareout..the",10
"TheMooralreadychangeswithmypoison.Dangerousconceitsare,intheirnatures,poisons,Which,atthefirst,arescarcefoundtodistaste;But,withalittleactupontheblood,Burnliketheminesofsulphur.—Ididsayso;—.the",9.75609756097561
"Kent.Vexnothisghost:O,lethimpass!hehateshim,ThatwouldupontherackofthistoughworldStretchhimoutlonger.Edg.O,heisgoneindeed..him",9.67741935483871
"Obeyyou,loveyou,andmosthonoryou.Whyhavemysistershusbands,iftheysay,Theyloveyouall?Haply,whenIshallwed,Thatlord,whosehandmusttakemyplight,shallcarryHalfmylovewithhim,halfmycare,andduty.Sure,Ishallnevermarrylikemysisters,.my",9.43396226415094
"Thisgildedserpent.[PointingtoGon.]—Foryourclaim,fairsister,.claim",9.09090909090909
"Thisgildedserpent.[PointingtoGon.]—Foryourclaim,fairsister,.fair",9.09090909090909
"Thisgildedserpent.[PointingtoGon.]—Foryourclaim,fairsister,.for",9.09090909090909
"Thisgildedserpent.[PointingtoGon.]—Foryourclaim,fairsister,.gilded",9.09090909090909
"Thisgildedserpent.[PointingtoGon.]—Foryourclaim,fairsister,.gon",9.09090909090909
"Thisgildedserpent.[PointingtoGon.]—Foryourclaim,fairsister,.pointing",9.09090909090909
"Thisgildedserpent.[PointingtoGon.]—Foryourclaim,fairsister,.serpent",9.09090909090909
"Thisgildedserpent.[PointingtoGon.]—Foryourclaim,fairsister,.sister",9.09090909090909
"Thisgildedserpent.[PointingtoGon.]—Foryourclaim,fairsister,.this",9.09090909090909
"Thisgildedserpent.[PointingtoGon.]—Foryourclaim,fairsister,.to",9.09090909090909
"Thisgildedserpent.[PointingtoGon.]—Foryourclaim,fairsister,.your",9.09090909090909
"SomegoodImeantodo,Despiteofmineownnature..despite",9.09090909090909
"SomegoodImeantodo,Despiteofmineownnature..do",9.09090909090909
"SomegoodImeantodo,Despiteofmineownnature..good",9.09090909090909
"SomegoodImeantodo,Despiteofmineownnature..i",9.09090909090909
"SomegoodImeantodo,Despiteofmineownnature..mean",9.09090909090909
"SomegoodImeantodo,Despiteofmineownnature..mine",9.09090909090909
"SomegoodImeantodo,Despiteofmineownnature..nature",9.09090909090909
"SomegoodImeantodo,Despiteofmineownnature..of",9.09090909090909
"SomegoodImeantodo,Despiteofmineownnature..own",9.09090909090909
"SomegoodImeantodo,Despiteofmineownnature..some",9.09090909090909
"SomegoodImeantodo,Despiteofmineownnature..to",9.09090909090909
"Inthecorruptedcurrentsofthisworld,Offence'sgildedhandmayshovebyjustice;Andoft'tisseen,thewickedprizeitself.the",9.09090909090909
"Hor.Ifyourminddislikeanything,obeyit.Iwill.any",9.09090909090909
"Hor.Ifyourminddislikeanything,obeyit.Iwill.dislike",9.09090909090909
"Hor.Ifyourminddislikeanything,obeyit.Iwill.hor",9.09090909090909
"Hor.Ifyourminddislikeanything,obeyit.Iwill.i",9.09090909090909
"Hor.Ifyourminddislikeanything,obeyit.Iwill.if",9.09090909090909
"Hor.Ifyourminddislikeanything,obeyit.Iwill.it",9.09090909090909
"Hor.Ifyourminddislikeanything,obeyit.Iwill.mind",9.09090909090909
"Hor.Ifyourminddislikeanything,obeyit.Iwill.obey",9.09090909090909
"Hor.Ifyourminddislikeanything,obeyit.Iwill.thing",9.09090909090909
"Hor.Ifyourminddislikeanything,obeyit.Iwill.will",9.09090909090909
"Hor.Ifyourminddislikeanything,obeyit.Iwill.your",9.09090909090909
"Hor.Neverbelieveit;IammoreanantiqueRomanthanaDane,Here'syetsomeliquorleft.Ham.Asthou'rtaman,—.a",8.69565217391304
"Makesacredevenhisstirrup,andthroughhimDrinkthefreeair..air",8.33333333333333
"Makesacredevenhisstirrup,andthroughhimDrinkthefreeair..and",8.33333333333333
"Makesacredevenhisstirrup,andthroughhimDrinkthefreeair..drink",8.33333333333333
"Makesacredevenhisstirrup,andthroughhimDrinkthefreeair..even",8.33333333333333
"Makesacredevenhisstirrup,andthroughhimDrinkthefreeair..free",8.33333333333333
"Makesacredevenhisstirrup,andthroughhimDrinkthefreeair..him",8.33333333333333
"Makesacredevenhisstirrup,andthroughhimDrinkthefreeair..his",8.33333333333333
"Makesacredevenhisstirrup,andthroughhimDrinkthefreeair..make",8.33333333333333
"Makesacredevenhisstirrup,andthroughhimDrinkthefreeair..sacred",8.33333333333333
"Makesacredevenhisstirrup,andthroughhimDrinkthefreeair..stirrup",8.33333333333333
"Makesacredevenhisstirrup,andthroughhimDrinkthefreeair..the",8.33333333333333
"Makesacredevenhisstirrup,andthroughhimDrinkthefreeair..through",8.33333333333333
"Who'dbesomockedwithglory?ortoliveButinadreamoffriendship?Tohavehispomp,andallwhatstatecompounds,.to",8.33333333333333
"Apem.Tovexthee.Tim.Alwaysavillain'soffice,orafool's..always",8.33333333333333
"Apem.Tovexthee.Tim.Alwaysavillain'soffice,orafool's..apem",8.33333333333333
"Apem.Tovexthee.Tim.Alwaysavillain'soffice,orafool's..fool's",8.33333333333333
"Apem.Tovexthee.Tim.Alwaysavillain'soffice,orafool's..office",8.33333333333333
"Apem.Tovexthee.Tim.Alwaysavillain'soffice,orafool's..or",8.33333333333333
"Apem.Tovexthee.Tim.Alwaysavillain'soffice,orafool's..thee",8.33333333333333
"Apem.Tovexthee.Tim.Alwaysavillain'soffice,orafool's..tim",8.33333333333333
"Apem.Tovexthee.Tim.Alwaysavillain'soffice,orafool's..to",8.33333333333333
"Apem.Tovexthee.Tim.Alwaysavillain'soffice,orafool's..vex",8.33333333333333
"Apem.Tovexthee.Tim.Alwaysavillain'soffice,orafool's..villain's",8.33333333333333
"Apem.Hereisnouseforgold.Tim.Thebest,andtruest;.and",8.33333333333333
"Apem.Hereisnouseforgold.Tim.Thebest,andtruest;.apem",8.33333333333333
"Apem.Hereisnouseforgold.Tim.Thebest,andtruest;.best",8.33333333333333
"Apem.Hereisnouseforgold.Tim.Thebest,andtruest;.for",8.33333333333333
"Apem.Hereisnouseforgold.Tim.Thebest,andtruest;.gold",8.33333333333333
"Apem.Hereisnouseforgold.Tim.Thebest,andtruest;.here",8.33333333333333
"Apem.Hereisnouseforgold.Tim.Thebest,andtruest;.is",8.33333333333333
"Apem.Hereisnouseforgold.Tim.Thebest,andtruest;.no",8.33333333333333
"Apem.Hereisnouseforgold.Tim.Thebest,andtruest;.the",8.33333333333333
"Apem.Hereisnouseforgold.Tim.Thebest,andtruest;.tim",8.33333333333333
"Apem.Hereisnouseforgold.Tim.Thebest,andtruest;.truest",8.33333333333333
"Apem.Hereisnouseforgold.Tim.Thebest,andtruest;.use",8.33333333333333
"Tim.Iunderstandthee;thouhadstsomemeanstokeepadog..a",8.33333333333333
"Tim.Iunderstandthee;thouhadstsomemeanstokeepadog..dog",8.33333333333333
"Tim.Iunderstandthee;thouhadstsomemeanstokeepadog..hadst",8.33333333333333
"Tim.Iunderstandthee;thouhadstsomemeanstokeepadog..i",8.33333333333333
"Tim.Iunderstandthee;thouhadstsomemeanstokeepadog..keep",8.33333333333333
"Tim.Iunderstandthee;thouhadstsomemeanstokeepadog..means",8.33333333333333
"Tim.Iunderstandthee;thouhadstsomemeanstokeepadog..some",8.33333333333333
"Tim.Iunderstandthee;thouhadstsomemeanstokeepadog..thee",8.33333333333333
"Tim.Iunderstandthee;thouhadstsomemeanstokeepadog..thou",8.33333333333333
"Tim.Iunderstandthee;thouhadstsomemeanstokeepadog..tim",8.33333333333333
"Tim.Iunderstandthee;thouhadstsomemeanstokeepadog..to",8.33333333333333
"Tim.Iunderstandthee;thouhadstsomemeanstokeepadog..understand",8.33333333333333
"Tim.Why,Iwaswritingofmyepitaph;Itwillbeseento-morrow.MylongsicknessOfhealth,andliving,nowbeginstomend,.my",8.33333333333333
"Tim.Why,Iwaswritingofmyepitaph;Itwillbeseento-morrow.MylongsicknessOfhealth,andliving,nowbeginstomend,.of",8.33333333333333
"Gon.Nomore;thetextisfoolish.Alb.Wisdomandgoodnesstothevileseemvile;Filthssavorbutthemselves.Whathaveyoudone?.the",8.33333333333333
"Gon.Nomore;thetextisfoolish.Alb.Wisdomandgoodnesstothevileseemvile;Filthssavorbutthemselves.Whathaveyoudone?.vile",8.33333333333333
"Itseems,itisaspropertoourageTocastbeyondourselvesinouropinions,Asitiscommonfortheyoungersort.as",8.33333333333333
"Itseems,itisaspropertoourageTocastbeyondourselvesinouropinions,Asitiscommonfortheyoungersort.is",8.33333333333333
"Itseems,itisaspropertoourageTocastbeyondourselvesinouropinions,Asitiscommonfortheyoungersort.our",8.33333333333333
"Itseems,itisaspropertoourageTocastbeyondourselvesinouropinions,Asitiscommonfortheyoungersort.to",8.33333333333333
"There'sadivinitythatshapesourends,Rough-hewthemhowwewill..a",8.33333333333333
"There'sadivinitythatshapesourends,Rough-hewthemhowwewill..divinity",8.33333333333333
"There'sadivinitythatshapesourends,Rough-hewthemhowwewill..ends",8.33333333333333
"There'sadivinitythatshapesourends,Rough-hewthemhowwewill..how",8.33333333333333
